owner_id,age,gender,district,city_quarter,breed1,breed1_mixed_breed,breed2,breed_type,dog_year_of_birth,gender_dog,dog_color,roster,first_appearance,appearances,dog_count,dog_age,dog_stage,age_group,age_range,breed1_std
6600,51-60,m,6.0,63.0,Mischling klein,Mischling,,K,2004,m,braun,2015,2015,3,1,12,senior,51-60,50s,MISCHLING
6617,61-70,w,12.0,122.0,Grosspudel,pure_breed,,I,2012,w,weiss,2015,2015,3,1,4,adult,61-70,60s,POODLE
6629,51-60,w,4.0,41.0,Spitz,Mischling,,K,1997,w,hellbraun,2015,2015,2,1,19,senior,51-60,50s,GERMAN SPITZ
6640,51-60,m,8.0,82.0,Englische Bulldogge,pure_breed,,I,2011,m,braun/weiss,2015,2015,3,1,5,adult,51-60,50s,BULLDOG
12349,51-60,m,4.0,41.0,English Springer Spaniel,pure_breed,,I,2005,m,braun/weiss,2015,2015,3,1,11,senior,51-60,50s,ENGLISH SPRINGER SPANIEL
12371,51-60,w,2.0,23.0,Malteser,pure_breed,,K,2001,w,weiss,2015,2015,2,1,15,senior,51-60,50s,MALTESE
12409,61-70,m,9.0,91.0,Mischling klein,Mischling,,K,2008,w,weiss/schwarz/braun,2015,2015,3,1,8,adult,61-70,60s,MISCHLING
13119,51-60,m,10.0,102.0,Dobermann,pure_breed,,I,2006,w,braun/rot,2015,2015,2,1,10,senior,51-60,50s,DOBERMANN
13140,51-60,m,3.0,33.0,Jack Russel Terrier,pure_breed,,K,2002,w,tricolor,2015,2015,2,1,14,senior,51-60,50s,JACK RUSSELL TERRIER
13193,51-60,m,11.0,111.0,Langhaardackel,pure_breed,,K,2005,w,hellbraun,2015,2015,3,1,11,senior,51-60,50s,DACHSHUND
14693,41-50,m,11.0,111.0,Chihuahua,pure_breed,,K,2007,w,weiss/grau,2015,2015,3,1,9,senior,41-50,40s,CHIHUAHUA
15456,41-50,m,2.0,21.0,Chihuahua,pure_breed,,K,2010,m,schwarz,2015,2015,3,1,6,adult,41-50,40s,CHIHUAHUA
18020,41-50,m,5.0,52.0,Labrador Retriever,pure_breed,,I,2011,w,schwarz,2015,2015,3,1,5,adult,41-50,40s,LABRADOR RETRIEVER
18360,31-40,w,3.0,31.0,Husky,pure_breed,,I,2010,w,weiss,2015,2015,3,1,6,adult,31-40,30s,SIBERIAN HUSKY
18805,41-50,w,6.0,63.0,Jack Russel Terrier,pure_breed,,K,2008,m,tricolor,2015,2015,3,1,8,adult,41-50,40s,JACK RUSSELL TERRIER
19004,51-60,m,5.0,52.0,Malteser,pure_breed,,K,2014,m,weiss,2015,2015,3,1,2,puppy,51-60,50s,MALTESE
19141,61-70,m,4.0,42.0,Bolonka Zwetna,pure_breed,,K,2012,m,schwarz,2015,2015,3,1,4,adult,61-70,60s,RUSSIAN TSVETNAYA BOLONKA
19652,51-60,w,2.0,24.0,Mischling klein,Mischling,,K,2007,w,braun,2015,2015,3,1,9,senior,51-60,50s,MISCHLING
19839,51-60,m,2.0,23.0,Labrador Retriever,Mischling,,I,2009,w,schwarz,2015,2015,3,1,7,adult,51-60,50s,LABRADOR RETRIEVER
20016,81-90,m,6.0,63.0,Kleinspitz,pure_breed,,K,2011,m,schwarz/braun/weiss,2015,2015,2,1,5,adult,71+,80s,
20205,81-90,m,7.0,73.0,Toypudel,pure_breed,,K,2001,w,schwarz,2015,2015,1,1,15,senior,71+,80s,POODLE
20483,61-70,m,12.0,121.0,Terrier,Mischling,,K,2002,m,black/tan,2015,2015,3,1,14,senior,61-70,60s,AIREDALE TERRIER
20510,41-50,m,9.0,91.0,Berger blanc Suisse,pure_breed,,I,2006,m,weiss,2015,2015,3,1,10,senior,41-50,40s,WHITE SWISS SHEPHERD DOG
20580,41-50,m,4.0,44.0,Chihuahua,pure_breed,,K,2011,m,hellbraun,2015,2015,1,1,5,adult,41-50,40s,CHIHUAHUA
20762,51-60,m,4.0,42.0,Zwergpudel,pure_breed,,K,2012,m,apricot,2015,2015,3,1,4,adult,51-60,50s,POODLE
21270,41-50,m,8.0,81.0,Grosspudel,pure_breed,,I,2012,m,braun,2015,2015,3,1,4,adult,41-50,40s,POODLE
21393,51-60,m,2.0,24.0,Französische Bulldogge,pure_breed,,K,2012,m,blue,2015,2015,3,1,4,adult,51-60,50s,FRENCH BULLDOG
21828,71-80,w,7.0,74.0,Spitz,Mischling,,K,2013,m,weiss/beige,2015,2015,3,1,3,puppy,71+,70s,GERMAN SPITZ
21865,61-70,m,6.0,61.0,Fox terrier,pure_breed,,K,2005,m,tricolor,2015,2015,3,1,11,senior,61-70,60s,ENGLISH TOY TERRIER (BLACK &TAN)
22186,41-50,m,8.0,82.0,Labrador Retriever,Mischling,Border Collie,I,2009,m,schwarz,2015,2015,3,1,7,adult,41-50,40s,LABRADOR RETRIEVER
22378,51-60,m,7.0,72.0,Kooiker,pure_breed,,K,2010,w,weiss/orange,2015,2015,3,1,6,adult,51-60,50s,NEDERLANDSE KOOIKERHONDJE
22479,51-60,m,7.0,72.0,Mischling klein,Mischling,,K,2001,w,grau gestromt,2015,2015,3,1,15,senior,51-60,50s,MISCHLING
22950,51-60,w,11.0,119.0,Mittelpudel,pure_breed,,K,2013,w,schwarz,2015,2015,3,1,3,puppy,51-60,50s,POODLE
22956,41-50,m,10.0,102.0,Cocker Spaniel,pure_breed,,K,2014,m,orange Schimmel,2015,2015,3,1,2,puppy,41-50,40s,AMERICAN COCKER SPANIEL
23054,61-70,w,10.0,101.0,Cairn Terrier,pure_breed,,K,2011,m,rot/beige,2015,2015,3,1,5,adult,61-70,60s,CAIRN TERRIER
23408,31-40,m,12.0,122.0,Yorkshire Terrier,pure_breed,,K,2011,w,black/tan,2015,2015,3,1,5,adult,31-40,30s,YORKSHIRE TERRIER
23493,61-70,m,11.0,111.0,Boxer,pure_breed,,I,2013,m,braun/weiss,2015,2015,3,1,3,puppy,61-70,60s,BOXER
23887,81-90,m,2.0,24.0,Zwergdackel,pure_breed,,K,2014,w,braun,2015,2015,1,2,2,puppy,71+,80s,DACHSHUND
23887,81-90,m,2.0,24.0,Zwergrauhaardackel,pure_breed,,K,2001,m,saufarben,2015,2015,1,2,15,senior,71+,80s,DACHSHUND
23889,61-70,w,4.0,42.0,Pudel,pure_breed,,K,2012,m,braun,2015,2015,3,1,4,adult,61-70,60s,POODLE
24014,51-60,w,12.0,123.0,Yorkshire Terrier,pure_breed,,K,2007,w,blue/tan,2015,2015,3,1,9,senior,51-60,50s,YORKSHIRE TERRIER
24242,41-50,w,11.0,119.0,Belgischer Schäfer,Mischling,,I,2003,m,braun/schwarz,2015,2015,2,1,13,senior,41-50,40s,BELGIAN SHEPHERD DOG
24246,51-60,m,10.0,102.0,Bergamasker,Mischling,,I,2001,m,schwarz/braun,2015,2015,2,1,15,senior,51-60,50s,BERGAMASCO SHEPHERD DOG
40684,71-80,m,7.0,74.0,Labrador Retriever,pure_breed,,I,2004,m,blondfarben,2015,2015,3,1,12,senior,71+,70s,LABRADOR RETRIEVER
44439,71-80,m,7.0,74.0,Border Collie,Mischling,,I,1999,m,schwarz/weiss,2015,2015,1,1,17,senior,71+,70s,BORDER COLLIE
54322,71-80,m,3.0,33.0,Lagotto Romagnolo,pure_breed,,I,2009,m,weiss/orange,2015,2015,3,1,7,adult,71+,70s,ROMAGNA WATER DOG
