roster,sub_district,avg_household_size,total_households
2015,011,1.5960825833774483,1889.0
2015,012,1.8525345622119815,217.0
2015,013,1.5911413969335604,587.0
2015,014,2.1772151898734178,316.0
2015,021,1.9414126207502196,7971.0
2015,023,2.4036217303822935,2485.0
2015,024,1.9990962494351558,4426.0
2015,031,1.9156570901119185,8667.0
2015,033,2.5247005988023954,4008.0
2015,034,1.8811118246032474,10901.0
2015,041,2.046242774566474,2076.0
2015,042,1.7902158774373256,5744.0
2015,044,1.9901207464324917,6377.0
2015,051,1.8902034039020341,4818.0
2015,052,1.969630442736919,2733.0
2015,061,1.9839646115565384,10851.0
2015,063,1.9615384615384615,5018.0
2015,071,2.121965317919075,3460.0
2015,072,1.9976967370441459,5210.0
2015,073,1.9553370786516855,3560.0
2015,074,2.0379948279291824,5027.0
2015,081,1.6786807208432506,2941.0
2015,082,1.795307193578265,3239.0
2015,083,1.8900871007880546,2411.0
2015,091,1.9648478488982162,9530.0
2015,092,2.0257907861924136,15238.0
2015,101,2.030544981895831,10771.0
2015,102,1.8552362630756283,8317.0
2015,111,2.2415380449499054,11079.0
2015,115,1.9752456174147561,10382.0
2015,119,2.115936921857105,11351.0
2015,121,2.5616605616605614,3276.0
2015,122,2.001621329490182,5551.0
2015,123,2.1890151515151515,5280.0
2016,011,1.60010593220339,1888.0
2016,012,1.8603603603603605,222.0
2016,013,1.6243567753001715,583.0
2016,014,2.062874251497006,334.0
2016,021,1.9504376772284553,8111.0
2016,023,2.3808208366219414,2534.0
2016,024,1.9955377063810797,4482.0
2016,031,1.9333333333333333,8760.0
2016,033,2.517166866746699,4165.0
2016,034,1.8766120918320681,10933.0
2016,041,2.048130841121495,2140.0
2016,042,1.7612067496164991,5867.0
2016,044,1.9515500856831283,6419.0
2016,051,1.8707552994443304,4859.0
2016,052,2.014680181754631,2861.0
2016,061,1.9660207300585852,11095.0
2016,063,1.9428405347800812,5161.0
2016,071,2.11875,3520.0
2016,072,2.006460193805814,5263.0
2016,073,1.9265237962705257,3593.0
2016,074,2.0270110410094637,5072.0
2016,081,1.6904600811907986,2956.0
2016,082,1.8037642702869485,3241.0
2016,083,1.9156064461407973,2358.0
2016,091,1.9684220660440939,10387.0
2016,092,2.0229312717028107,15263.0
2016,101,2.0315565426614843,10806.0
2016,102,1.8600213345976055,8437.0
2016,111,2.233784746970777,11224.0
2016,115,1.978467987804878,10496.0
2016,119,2.1147540983606556,11468.0
2016,121,2.531578947368421,3230.0
2016,122,1.9919766593727204,5484.0
2016,123,2.200256269449021,5463.0
2017,011,1.615018508725542,1891.0
2017,012,1.86784140969163,227.0
2017,013,1.6034782608695652,575.0
2017,014,2.209375,320.0
2017,021,2.0021069881774554,8543.0
2017,023,2.399366085578447,2524.0
2017,024,2.026978417266187,4448.0
2017,031,1.9538285714285715,8750.0
2017,033,2.5304937076476284,4132.0
2017,034,1.8821262101111509,11156.0
2017,041,2.062618595825427,2108.0
2017,042,1.7712316968130921,5805.0
2017,044,1.9539929219879981,6499.0
2017,051,1.8851674641148326,4807.0
2017,052,2.0254755434782608,2944.0
2017,061,1.978558027338515,11193.0
2017,063,1.937512016919823,5201.0
2017,071,2.128663131454089,3583.0
2017,072,2.020517737296261,5215.0
2017,073,1.949433545178226,3619.0
2017,074,2.043182726909236,5002.0
2017,081,1.713515335355578,2967.0
2017,082,1.8151702786377708,3230.0
