breed_group,breeds,links
foundation stock service,slovakian wirehaired pointer,https://www.akc.org/dog-breeds/slovakian-wirehaired-pointer/
foundation stock service,slovensky cuvac,https://www.akc.org/dog-breeds/slovensky-cuvac/
foundation stock service,slovensky kopov,https://www.akc.org/dog-breeds/slovensky-kopov/
foundation stock service,spanish mastiff,https://www.akc.org/dog-breeds/spanish-mastiff/
foundation stock service,stabyhoun,https://www.akc.org/dog-breeds/stabyhoun/
foundation stock service,swedish lapphund,https://www.akc.org/dog-breeds/swedish-lapphund/
foundation stock service,taiwan dog,https://www.akc.org/dog-breeds/taiwan-dog/
foundation stock service,thai ridgeback,https://www.akc.org/dog-breeds/thai-ridgeback/
foundation stock service,tornjak,https://www.akc.org/dog-breeds/tornjak/
foundation stock service,tosa,https://www.akc.org/dog-breeds/tosa/
foundation stock service,transylvanian hound,https://www.akc.org/dog-breeds/transylvanian-hound/
foundation stock service,treeing tennessee brindle,https://www.akc.org/dog-breeds/treeing-tennessee-brindle/
foundation stock service,volpino italiano,https://www.akc.org/dog-breeds/volpino-italiano/
foundation stock service,wetterhoun,https://www.akc.org/dog-breeds/wetterhoun/
foundation stock service,working kelpie,https://www.akc.org/dog-breeds/working-kelpie/
foundation stock service,yakutian laika,https://www.akc.org/dog-breeds/yakutian-laika/
