dog_breed,dog_breed_type_short,dog_breed_type,query_match
Pyrenäen,I,Rassentypenliste I,FRENCH POINTING DOG - PYRENEAN TYPE
Ratenero Bodeguero,I,Rassentypenliste I,
Ratero,K,Kleinwüchsig,
Rauhaar Dackel,K,Kleinwüchsig,
Red Heeler,I,Rassentypenliste I,
Rehpinscher,K,Kleinwüchsig,MINIATURE PINSCHER
Retriever,I,Rassentypenliste I,CHESAPEAKE BAY RETRIEVER
Rhodesian Ridgeback,I,Rassentypenliste I,RHODESIAN RIDGEBACK
Riesenschnauzer,I,Rassentypenliste I,GIANT SCHNAUZER
Rottweiler,I,Rassentypenliste I,ROTTWEILER
Russischer Terrier,I,Rassentypenliste I,
Russkiy Toy,K,Kleinwüchsig,RUSSIAN TOY
Saarloos-Wolfshund,I,Rassentypenliste I,
Saluki,I,Rassentypenliste I,SALUKI
Samojede,I,Rassentypenliste I,SAMOYED
Schapendoes,I,Rassentypenliste I,DUTCH SCHAPENDOES
Schipperke,I,Rassentypenliste I,SCHIPPERKE
Schnauzer,I,Rassentypenliste I,GIANT SCHNAUZER
Schwedischer Vallhund,,,
Schweizer Niederlaufhund,K,Kleinwüchsig,SMALL SWISS HOUND
Schweizer Sennenhund,I,Rassentypenliste I,GREAT SWISS MOUNTAIN DOG
Schäfer,I,Rassentypenliste I,WHITE SWISS SHEPHERD DOG
Schäfer,I,Rassentypenliste I,WHITE SWISS SHEPHERD DOG
Scottish Terrier,K,Kleinwüchsig,SCOTTISH TERRIER
Segugio,I,Rassentypenliste I,ITALIAN ROUGH-HAIRED SEGUGIO
Sennenhund,I,Rassentypenliste I,APPENZELL CATTLE DOG
Setter,I,Rassentypenliste I,ENGLISH SETTER
Shar Pei,I,Rassentypenliste I,SHAR PEI
Sheltie,K,Kleinwüchsig,SHETLAND SHEEPDOG
Shetland Sheepdog,K,Kleinwüchsig,SHETLAND SHEEPDOG
Shiba Inu,K,Kleinwüchsig,SHIBA
Shih Tzu,K,Kleinwüchsig,SHIH TZU
Sibirischer Husky,I,Rassentypenliste I,
Silky Terrier,K,Kleinwüchsig,AUSTRALIAN SILKY TERRIER
Skye Terrier,K,Kleinwüchsig,SKYE TERRIER
Sloughi,I,Rassentypenliste I,SLOUGHI
Slovensky Cuvac,I,Rassentypenliste I,SLOVAKIAN CHUVACH
Soft Coated Wheaten Terrier,I,Rassentypenliste I,IRISH SOFT COATED WHEATEN TERRIER
Spaniel,,,AMERICAN COCKER SPANIEL
Spanischer Wasserhund,I,Rassentypenliste I,SPANISH WATER DOG
Spanischer Windhund,I,Rassentypenliste I,SPANISH GREYHOUND
Spinone,I,Rassentypenliste I,ITALIAN SPINONE
Spitz,K,Kleinwüchsig,GERMAN SPITZ
Stabijhoun,I,Rassentypenliste I,STABIJHOUN
Staffordshire Bull Terrier,II,Rassentypenliste II,STAFFORDSHIRE BULL TERRIER
Tamaskan,I,Rassentypenliste I,
Teckel,K,Kleinwüchsig,DACHSHUND
Terrier,,,AIREDALE TERRIER
Tervueren,I,Rassentypenliste I,
Thai Ridgeback,I,Rassentypenliste I,THAI RIDGEBACK DOG
Tibet Terrier,K,Kleinwüchsig,
Tibetan Spaniel,K,Kleinwüchsig,TIBETAN SPANIEL
Tiroler Bracke,I,Rassentypenliste I,TYROLEAN HOUND
Toller,I,Rassentypenliste I,
Toy Pudel,K,Kleinwüchsig,
Toypudel,K,Kleinwüchsig,
Toyterrier,K,Kleinwüchsig,
Transylvanischer Laufhund,I,Rassentypenliste I,HUNGARIAN HOUND - TRANSYLVANIAN SCENT HOUND
Trüffelhund,I,Rassentypenliste I,
Tschechoslowakischer Wolfshund,I,Rassentypenliste I,
Vizsla,I,Rassentypenliste I,HUNGARIAN WIRE-HAIRED POINTER
Volpino,K,Kleinwüchsig,ITALIAN VOLPINO
Vorstehhund,I,Rassentypenliste I,ITALIAN POINTING DOG
Västgötaspets,K,Kleinwüchsig,SWEDISH VALLHUND
Wasserhund,I,Rassentypenliste I,FRENCH WATER DOG
Weimaraner,I,Rassentypenliste I,WEIMARANER
Welsh Corgi,K,Kleinwüchsig,WELSH CORGI (CARDIGAN)
Welsh Corgi Cardigan,K,Kleinwüchsig,
Welsh Corgi Pembroke,K,Kleinwüchsig,
Welsh Springer Spaniel,I,Rassentypenliste I,WELSH SPRINGER SPANIEL
Welsh Terrier,K,Kleinwüchsig,WELSH TERRIER
West Highland White Terrier,K,Kleinwüchsig,WEST HIGHLAND WHITE TERRIER
Westfalenterrier,,,
Westgotenspitz,K,Kleinwüchsig,
Whippet,I,Rassentypenliste I,WHIPPET
Windhund,I,Rassentypenliste I,AFGHAN HOUND
Windspiel,I,Rassentypenliste I,ITALIAN SIGHTHOUND
Wolfspitz,K,Kleinwüchsig,
Wäller,I,Rassentypenliste I,
Yorkshire Terrier,K,Kleinwüchsig,YORKSHIRE TERRIER
Zwergdachshund,K,Kleinwüchsig,
Zwergdackel,K,Kleinwüchsig,
Zwergpinscher,K,Kleinwüchsig,MINIATURE PINSCHER
Zwergpudel,K,Kleinwüchsig,
Zwergrauhaardackel,K,Kleinwüchsig,
Zwergschnauzer,K,Kleinwüchsig,MINIATURE SCHNAUZER
Zwergspitz,K,Kleinwüchsig,
lunde,,,NORWEGIAN LUNDEHUND
