breed,link,translations,alt_names,no_accent,breed_en
BERNER SENNENHUND,https://fci.be/en/nomenclature/BERNESE-MOUNTAIN-DOG-45.html,"['BERNESE MOUNTAIN DOG', 'BOUVIER BERNOIS', 'BERNER SENNENHUND', 'BOYERO DE MONTANA BERNES']","['bernese mountain dog', 'bouvier bernois', 'boyero de montana bernes', 'berner sennenhund']","['bernese mountain dog', 'bouvier bernois', 'boyero de montana bernes', 'berner sennenhund']",BERNESE MOUNTAIN DOG
BICHON A POIL FRISE,https://fci.be/en/nomenclature/BICHON-FRISE-215.html,"['BICHON FRISE', 'BICHON A POIL FRISE', 'BICHON FRISE', 'BICHON DE PELO RIZADO']","['bichon a poil frise', 'bichon de pelo rizado', 'bichon frise']","['bichon a poil frise', 'bichon de pelo rizado', 'bichon frise']",BICHON FRISE
BICHON HAVANAIS,https://fci.be/en/nomenclature/HAVANESE-250.html,"['HAVANESE', 'BICHON HAVANAIS', 'HAVANESER', 'BICHON HABANERO']","['bichon habanero', 'bichon havanais', 'havanese', 'havaneser']","['bichon habanero', 'bichon havanais', 'havanese', 'havaneser']",HAVANESE
BILLY,https://fci.be/en/nomenclature/BILLY-25.html,"['BILLY', 'BILLY', 'BILLY', 'BILLY']",['billy'],['billy'],BILLY
BLACK AND TAN COONHOUND,https://fci.be/en/nomenclature/BLACK-AND-TAN-COONHOUND-300.html,"['BLACK AND TAN COONHOUND', 'CHIEN NOIR & FEU POUR LA CHASSE AU RATON LAVEUR', 'SCHWARZ-LOHFARBENER WASCHBÄRENHUND', 'PERRO NEGRO Y FUEGO PARA LA CAZA DEL MAPACHE']","['chien noir & feu pour la chasse au raton laveur', 'schwarz-lohfarbener waschbärenhund', 'black and tan coonhound', 'perro negro y fuego para la caza del mapache']","['chien noir & feu pour la chasse au raton laveur', 'schwarz-lohfarbener waschbarenhund', 'black and tan coonhound', 'perro negro y fuego para la caza del mapache']",BLACK AND TAN COONHOUND
BOLOGNESE,https://fci.be/en/nomenclature/BOLOGNESE-196.html,"['BOLOGNESE', 'BICHON BOLONAIS', 'BOLOGNESER', 'BOLOGNESE']","['bologneser', 'bolognese', 'bichon bolonais']","['bologneser', 'bolognese', 'bichon bolonais']",BOLOGNESE
BORDER COLLIE,https://fci.be/en/nomenclature/BORDER-COLLIE-297.html,"['BORDER COLLIE', 'BORDER COLLIE', 'BORDER COLLIE', 'BORDER COLLIE']",['border collie'],['border collie'],BORDER COLLIE
BORDER TERRIER,https://fci.be/en/nomenclature/BORDER-TERRIER-10.html,"['BORDER TERRIER', 'BORDER TERRIER', 'BORDER TERRIER', 'BORDER TERRIER']",['border terrier'],['border terrier'],BORDER TERRIER
BOSANSKI OSTRODLAKI GONIC-BARAK,https://fci.be/en/nomenclature/BOSNIAN-BROKEN-HAIRED-HOUND-CALLED-BARAK-155.html,"['BOSNIAN BROKEN-HAIRED HOUND - CALLED BARAK', 'CHIEN COURANT DE BOSNIE A POIL RAIDE - DIT BARAK', 'STICHELHAARIGER BOSNISCHER LAUFHUND- GENANNT BARAK', 'SABUESO BOSNIO DE PELO CERDOSO - LLAMADO BARAK']","['bosnian broken-haired hound - called barak', 'chien courant de bosnie a poil raide - dit barak', 'bosanski ostrodlaki gonic-barak', 'sabueso bosnio de pelo cerdoso - llamado barak', 'stichelhaariger bosnischer laufhund- genannt barak']","['bosnian broken-haired hound - called barak', 'chien courant de bosnie a poil raide - dit barak', 'bosanski ostrodlaki gonic-barak', 'sabueso bosnio de pelo cerdoso - llamado barak', 'stichelhaariger bosnischer laufhund- genannt barak']",BOSNIAN BROKEN-HAIRED HOUND - CALLED BARAK
BOSTON TERRIER,https://fci.be/en/nomenclature/BOSTON-TERRIER-140.html,"['BOSTON TERRIER', 'TERRIER DE BOSTON', 'BOSTON TERRIER', 'BOSTON TERRIER']","['terrier de boston', 'boston terrier']","['terrier de boston', 'boston terrier']",BOSTON TERRIER
BOULEDOGUE FRANÇAIS,https://fci.be/en/nomenclature/FRENCH-BULLDOG-101.html,"['FRENCH BULLDOG', 'BOULEDOGUE FRANÇAIS', 'FRANZÖSISCHE BULLDOGGE', 'BULLDOG FRANCÉS']","['french bulldog', 'französische bulldogge', 'bouledogue français', 'bulldog francés']","['french bulldog', 'franzosische bulldogge', 'bouledogue francais', 'bulldog frances']",FRENCH BULLDOG
BOUVIER DES ARDENNES,https://fci.be/en/nomenclature/BOUVIER-DES-ARDENNES-171.html,"['BOUVIER DES ARDENNES', 'BOUVIER DES ARDENNES', 'ARDENNEN-TREIBHUND', 'BOYERO DE LAS ARDENAS']","['ardennen-treibhund', 'boyero de las ardenas', 'bouvier des ardennes']","['ardennen-treibhund', 'boyero de las ardenas', 'bouvier des ardennes']",BOUVIER DES ARDENNES
BOUVIER DES FLANDRES-VLAAMSE KOEHOND,https://fci.be/en/nomenclature/BOUVIER-DES-FLANDRES-191.html,"['BOUVIER DES FLANDRES', 'BOUVIER DES FLANDRES', 'FLANDRISCHER TREIBHUND', 'BOYERO DE FLANDES']","['bouvier des flandres', 'flandrischer treibhund', 'boyero de flandes', 'bouvier des flandres-vlaamse koehond']","['bouvier des flandres', 'flandrischer treibhund', 'boyero de flandes', 'bouvier des flandres-vlaamse koehond']",BOUVIER DES FLANDRES
BRACCO ITALIANO,https://fci.be/en/nomenclature/ITALIAN-POINTING-DOG-202.html,"['ITALIAN POINTING DOG', 'BRAQUE ITALIEN', 'ITALIENISCHER VORSTEHHUND', 'BRACO ITALIANO']","['italian pointing dog', 'braco italiano', 'italienischer vorstehhund', 'braque italien', 'bracco italiano']","['italian pointing dog', 'braco italiano', 'italienischer vorstehhund', 'braque italien', 'bracco italiano']",ITALIAN POINTING DOG
BRANDLBRACKE - (VIERÄUGL),https://fci.be/en/nomenclature/AUSTRIAN-BLACK-AND-TAN-HOUND-63.html,"['AUSTRIAN BLACK AND TAN HOUND', 'BRACHET NOIR & FEU (QUATRE-OEILLE)', 'BRANDLBRACKE (VIERÄUGL)', 'SABUESO AUSTRIACO NEGRO Y FUEGO']","['sabueso austriaco negro y fuego', 'brachet noir & feu (quatre-oeille)', 'brandlbracke (vieräugl)', 'brandlbracke - (vieräugl)', 'austrian black and tan hound']","['sabueso austriaco negro y fuego', 'brachet noir & feu (quatre-oeille)', 'brandlbracke (vieraugl)', 'brandlbracke - (vieraugl)', 'austrian black and tan hound']",AUSTRIAN BLACK AND TAN HOUND
BRAQUE D'AUVERGNE,https://fci.be/en/nomenclature/AUVERGNE-POINTER-180.html,"['AUVERGNE POINTER', ""BRAQUE D'AUVERGNE"", ""BRAQUE D'AUVERGNE"", 'BRACO DE AUVERNIA']","['auvergne pointer', 'braco de auvernia', ""braque d'auvergne""]","['auvergne pointer', 'braco de auvernia', ""braque d'auvergne""]",AUVERGNE POINTER
BRAQUE DE L'ARIÈGE,https://fci.be/en/nomenclature/ARIEGE-POINTING-DOG-177.html,"['ARIEGE POINTING DOG', ""BRAQUE DE L'ARIÈGE"", 'ARIEGE-VORSTEHHUND', 'BRACO DEL ARIEGE']","[""braque de l'ariège"", 'ariege pointing dog', 'ariege-vorstehhund', 'braco del ariege']","[""braque de l'ariege"", 'ariege pointing dog', 'ariege-vorstehhund', 'braco del ariege']",ARIEGE POINTING DOG
BRAQUE DU BOURBONNAIS,https://fci.be/en/nomenclature/BOURBONNAIS-POINTING-DOG-179.html,"['BOURBONNAIS POINTING DOG', 'BRAQUE DU BOURBONNAIS', 'BOURBONNAISER VORSTEHHUND', 'BRACO DEL BORBONESADO']","['braque du bourbonnais', 'bourbonnais pointing dog', 'bourbonnaiser vorstehhund', 'braco del borbonesado']","['braque du bourbonnais', 'bourbonnais pointing dog', 'bourbonnaiser vorstehhund', 'braco del borbonesado']",BOURBONNAIS POINTING DOG
