breed,link,translations,alt_names,no_accent,breed_en
CESKÝ FOUSEK,https://fci.be/en/nomenclature/BOHEMIAN-WIRE-HAIRED-POINTING-GRIFFON-245.html,"['BOHEMIAN WIRE-HAIRED POINTING GRIFFON', 'BARBU TCHEQUE', 'BÖHMISCH RAUHBART', 'GRIFÓN DE MUESTRA BOHEMIO DE PELO DURO']","['barbu tcheque', 'böhmisch rauhbart', 'bohemian wire-haired pointing griffon', 'grifón de muestra bohemio de pelo duro', 'ceský fousek']","['barbu tcheque', 'bohmisch rauhbart', 'bohemian wire-haired pointing griffon', 'grifon de muestra bohemio de pelo duro', 'cesky fousek']",BOHEMIAN WIRE-HAIRED POINTING GRIFFON
CESKÝ TERIER,https://fci.be/en/nomenclature/CESKY-TERRIER-246.html,"['CESKY TERRIER', 'TERRIER TCHEQUE', 'TSCHECHISCHER TERRIER', 'TERRIER CHECO']","['terrier tcheque', 'cesky terrier', 'tschechischer terrier', 'terrier checo', 'ceský terier']","['terrier tcheque', 'cesky terrier', 'tschechischer terrier', 'terrier checo', 'cesky terier']",CESKY TERRIER
CHART POLSKI,https://fci.be/en/nomenclature/POLISH-GREYHOUND-333.html,"['POLISH GREYHOUND', 'LEVRIER POLONAIS', 'POLNISCHER WINDHUND', 'LEBREL POLACO']","['levrier polonais', 'chart polski', 'lebrel polaco', 'polish greyhound', 'polnischer windhund']","['levrier polonais', 'chart polski', 'lebrel polaco', 'polish greyhound', 'polnischer windhund']",POLISH GREYHOUND
CHESAPEAKE BAY RETRIEVER,https://fci.be/en/nomenclature/CHESAPEAKE-BAY-RETRIEVER-263.html,"['CHESAPEAKE BAY RETRIEVER', 'RETRIEVER DE LA BAIE DE CHESAPEAKE', 'CHESAPEAKE BAY RETRIEVER', 'CHESAPEAKE BAY RETRIEVER']","['chesapeake bay retriever', 'retriever de la baie de chesapeake']","['chesapeake bay retriever', 'retriever de la baie de chesapeake']",CHESAPEAKE BAY RETRIEVER
CHIEN D'ARTOIS,https://fci.be/en/nomenclature/ARTOIS-HOUND-28.html,"['ARTOIS HOUND', ""CHIEN D'ARTOIS"", ""CHIEN D'ARTOIS"", 'SABUESO ARTESIANO']","['sabueso artesiano', ""chien d'artois"", 'artois hound']","['sabueso artesiano', ""chien d'artois"", 'artois hound']",ARTOIS HOUND
CHIEN DE BERGER BELGE,https://fci.be/en/nomenclature/BELGIAN-SHEPHERD-DOG-15.html,"['BELGIAN SHEPHERD DOG', 'CHIEN DE BERGER BELGE', 'BELGISCHER SCHÄFERHUND', 'PERRO DE PASTOR BELGA']","['chien de berger belge', 'belgischer schäferhund', 'perro de pastor belga', 'belgian shepherd dog']","['chien de berger belge', 'belgischer schaferhund', 'perro de pastor belga', 'belgian shepherd dog']",BELGIAN SHEPHERD DOG
CHIEN DE BERGER DES PYRENEES A FACE RASE,https://fci.be/en/nomenclature/PYRENEAN-SHEEPDOG-SMOOTH-FACED-138.html,"['PYRENEAN SHEEPDOG - SMOOTH FACED', 'CHIEN DE BERGER DES PYRENEES A FACE RASE', 'PYRENAEN-HUTEHUND MIT KURZHAARIGEM GESICHT', 'PASTOR DE LOS PIRINEOS DE CARA RASA']","['pyrenean sheepdog - smooth faced', 'pyrenaen-hutehund mit kurzhaarigem gesicht', 'chien de berger des pyrenees a face rase', 'pastor de los pirineos de cara rasa']","['pyrenean sheepdog - smooth faced', 'pyrenaen-hutehund mit kurzhaarigem gesicht', 'chien de berger des pyrenees a face rase', 'pastor de los pirineos de cara rasa']",PYRENEAN SHEEPDOG - SMOOTH FACED
CHIEN DE BERGER DES PYRENEES A POIL LONG,https://fci.be/en/nomenclature/LONG-HAIRED-PYRENEAN-SHEEPDOG-141.html,"['LONG-HAIRED PYRENEAN SHEEPDOG', 'CHIEN DE BERGER DES PYRENEES A POIL LONG', 'LANGHAARIGER PYRENAEN-SCHAFERHUND', 'PERRO PASTOR DE LOS PIRINEOS DE PELO LARGO']","['chien de berger des pyrenees a poil long', 'perro pastor de los pirineos de pelo largo', 'langhaariger pyrenaen-schaferhund', 'long-haired pyrenean sheepdog']","['chien de berger des pyrenees a poil long', 'perro pastor de los pirineos de pelo largo', 'langhaariger pyrenaen-schaferhund', 'long-haired pyrenean sheepdog']",LONG-HAIRED PYRENEAN SHEEPDOG
CHIEN DE MONTAGNE DES PYRENEES,https://fci.be/en/nomenclature/PYRENEAN-MOUNTAIN-DOG-137.html,"['PYRENEAN MOUNTAIN DOG', 'CHIEN DE MONTAGNE DES PYRENEES', 'PYRENÄEN-BERGHUND', 'PERRO DE MONTAÑA DE LOS PIRINEOS']","['perro de montaña de los pirineos', 'pyrenean mountain dog', 'chien de montagne des pyrenees', 'pyrenäen-berghund']","['perro de montana de los pirineos', 'pyrenean mountain dog', 'chien de montagne des pyrenees', 'pyrenaen-berghund']",PYRENEAN MOUNTAIN DOG
CHIEN DE SAINT HUBERT,https://fci.be/en/nomenclature/BLOODHOUND-84.html,"['BLOODHOUND', 'CHIEN DE SAINT HUBERT', 'BLUTHUND', 'CHIEN DE SAINT HUBERT']","['bluthund', 'chien de saint hubert', 'bloodhound']","['bluthund', 'chien de saint hubert', 'bloodhound']",BLOODHOUND
CHIHUAHUEÑO,https://fci.be/en/nomenclature/CHIHUAHUA-218.html,"['CHIHUAHUA', 'CHIHUAHUA', 'CHIHUAHUA', 'CHIHUAHUEÑO']","['chihuahueño', 'chihuahua']","['chihuahueno', 'chihuahua']",CHIHUAHUA
CHIN,https://fci.be/en/nomenclature/JAPANESE-CHIN-206.html,"['JAPANESE CHIN', 'EPAGNEUL JAPONAIS', 'JAPAN-CHIN', 'SPANIEL JAPONÉS']","['japanese chin', 'epagneul japonais', 'chin', 'spaniel japonés', 'japan-chin']","['japanese chin', 'epagneul japonais', 'chin', 'spaniel japones', 'japan-chin']",JAPANESE CHIN
CHINESE CRESTED DOG,https://fci.be/en/nomenclature/CHINESE-CRESTED-DOG-288.html,"['CHINESE CRESTED DOG', 'CHIEN CHINOIS A CRÊTE', 'CHINESISCHER SCHOPFHUND', 'PERRO CRESTADO CHINO']","['perro crestado chino', 'chinesischer schopfhund', 'chien chinois a crête', 'chinese crested dog']","['perro crestado chino', 'chinesischer schopfhund', 'chien chinois a crete', 'chinese crested dog']",CHINESE CRESTED DOG
CHODSKY PES,https://fci.be/en/nomenclature/BOHEMIAN-SHEPHERD-DOG-364.html,"['BOHEMIAN SHEPHERD DOG', 'CHIEN DE BERGER DE BOHÊME - BERGER DE BOHÊME', 'BÖHMISCHER SCHÄFERHUND', 'PERRO PASTOR BOHEMIO']","['bohemian shepherd dog', 'böhmischer schäferhund', 'chien de berger de bohême - berger de bohême', 'chodsky pes', 'perro pastor bohemio']","['bohemian shepherd dog', 'bohmischer schaferhund', 'chien de berger de boheme - berger de boheme', 'chodsky pes', 'perro pastor bohemio']",BOHEMIAN SHEPHERD DOG
CHOW CHOW,https://fci.be/en/nomenclature/CHOW-CHOW-205.html,"['CHOW CHOW', 'CHOW CHOW', 'CHOW CHOW', 'CHOW CHOW']",['chow chow'],['chow chow'],CHOW CHOW
CIMARRÓN URUGUAYO,https://fci.be/en/nomenclature/CIMARRON-URUGUAYO-353.html,"['CIMARRÓN URUGUAYO', 'CIMARRON URUGUAYEN', 'URUGUAYISCHER CIMARRON', 'CIMARRÓN URUGUAYO']","['cimarron uruguayen', 'uruguayischer cimarron', 'cimarrón uruguayo']","['cimarron uruguayen', 'uruguayischer cimarron', 'cimarron uruguayo']",CIMARRÓN URUGUAYO
CIOBANESC ROMÂNESC CARPATIN,https://fci.be/en/nomenclature/ROMANIAN-CARPATHIAN-SHEPHERD-DOG-350.html,"['ROMANIAN CARPATHIAN SHEPHERD DOG', 'CHIEN DE BERGER ROUMAIN DES CARPATHES', 'CIOBANESC ROMÂNESC CARPATIN', 'PERRO DE PASTOR RUMANO DE LOS CÁRPATOS ""CARPATIN""']","['ciobanesc românesc carpatin', 'chien de berger roumain des carpathes', 'perro de pastor rumano de los cárpatos ""carpatin""', 'romanian carpathian shepherd dog']","['ciobanesc romanesc carpatin', 'chien de berger roumain des carpathes', 'perro de pastor rumano de los carpatos ""carpatin""', 'romanian carpathian shepherd dog']",ROMANIAN CARPATHIAN SHEPHERD DOG
CIOBANESC ROMÂNESC DE BUCOVINA,https://fci.be/en/nomenclature/ROMANIAN-BUCOVINA-SHEPHERD-357.html,"['ROMANIAN BUCOVINA SHEPHERD', 'CHIEN DE BERGER ROUMAIN DE BUCOVINE', 'RUMÄNISCHER BUKOWINA-SCHÄFERHUND', 'PERRO DE PASTOR RUMANO DE BUCOVINA']","['ciobanesc românesc de bucovina', 'rumänischer bukowina-schäferhund', 'chien de berger roumain de bucovine', 'perro de pastor rumano de bucovina', 'romanian bucovina shepherd']","['ciobanesc romanesc de bucovina', 'rumanischer bukowina-schaferhund', 'chien de berger roumain de bucovine', 'perro de pastor rumano de bucovina', 'romanian bucovina shepherd']",ROMANIAN BUCOVINA SHEPHERD
CIOBANESC ROMÂNESC MIORITIC,https://fci.be/en/nomenclature/ROMANIAN-MIORITIC-SHEPHERD-DOG-349.html,"['ROMANIAN MIORITIC SHEPHERD DOG', 'CHIEN DE BERGER ROUMAIN DE MIORITZA', 'CIOBANESC ROMÂNESC MIORITIC', 'PERRO PASTOR RUMANO DE MIORITZA']","['chien de berger roumain de mioritza', 'romanian mioritic shepherd dog', 'ciobanesc românesc mioritic', 'perro pastor rumano de mioritza']","['chien de berger roumain de mioritza', 'romanian mioritic shepherd dog', 'ciobanesc romanesc mioritic', 'perro pastor rumano de mioritza']",ROMANIAN MIORITIC SHEPHERD DOG
CIRNECO DELL'ETNA,https://fci.be/en/nomenclature/CIRNECO-DELL-ETNA-199.html,"[""CIRNECO DELL'ETNA"", ""CIRNECO DE L'ETNA"", ""CIRNECO DELL'ETNA"", 'CIRNECO DEL ETNA']","[""cirneco dell'etna"", ""cirneco de l'etna"", 'cirneco del etna']","[""cirneco dell'etna"", ""cirneco de l'etna"", 'cirneco del etna']",CIRNECO DELL'ETNA
CLUMBER SPANIEL,https://fci.be/en/nomenclature/CLUMBER-SPANIEL-109.html,"['CLUMBER SPANIEL', 'CLUMBER SPANIEL', 'CLUMBER SPANIEL', 'CLUMBER SPANIEL']",['clumber spaniel'],['clumber spaniel'],CLUMBER SPANIEL
COLLIE ROUGH,https://fci.be/en/nomenclature/COLLIE-ROUGH-156.html,"['COLLIE ROUGH', 'COLLIE A POIL LONG', 'LANGHAARIGER SCHOTTISCHER SCHAFERHUND', 'COLLIE DE PELO LARGO']","['collie a poil long', 'langhaariger schottischer schaferhund', 'collie rough', 'collie de pelo largo']","['collie a poil long', 'langhaariger schottischer schaferhund', 'collie rough', 'collie de pelo largo']",COLLIE ROUGH
COLLIE SMOOTH,https://fci.be/en/nomenclature/COLLIE-SMOOTH-296.html,"['COLLIE SMOOTH', 'COLLIE A POIL COURT', 'KURZHAARIGER SCHOTTISCHER SCHAFERHUND', 'COLLIE DE PELO CORTO']","['collie de pelo corto', 'collie smooth', 'kurzhaariger schottischer schaferhund', 'collie a poil court']","['collie de pelo corto', 'collie smooth', 'kurzhaariger schottischer schaferhund', 'collie a poil court']",COLLIE SMOOTH
CONTINENTAL BULLDOG,https://fci.be/en/nomenclature/CONTINENTAL-BULLDOG-369.html,"['CONTINENTAL BULLDOG', 'BULLDOG CONTINENTAL', 'CONTINENTAL BULLDOG', 'BULLDOG CONTINENTAL']","['continental bulldog', 'bulldog continental']","['continental bulldog', 'bulldog continental']",CONTINENTAL BULLDOG
COTON DE TULEAR,https://fci.be/en/nomenclature/COTON-DE-TULEAR-283.html,"['COTON DE TULEAR', 'COTON DE TULEAR', 'COTON DE TULEAR', 'COTON DE TULEAR']",['coton de tulear'],['coton de tulear'],COTON DE TULEAR
CRNOGORSKI PLANINSKI GONIC,https://fci.be/en/nomenclature/MONTENEGRIN-MOUNTAIN-HOUND-279.html,"['MONTENEGRIN MOUNTAIN HOUND', 'CHIEN COURANT DE MONTAGNE DU MONTENEGRO', 'MONTENEGRINISCHER GEBIRGSLAUFHUND', 'SABUESO DE MONTAÑA DEL MONTENEGRO']","['sabueso de montaña del montenegro', 'montenegrin mountain hound', 'crnogorski planinski gonic', 'chien courant de montagne du montenegro', 'montenegrinischer gebirgslaufhund']","['sabueso de montana del montenegro', 'montenegrin mountain hound', 'crnogorski planinski gonic', 'chien courant de montagne du montenegro', 'montenegrinischer gebirgslaufhund']",MONTENEGRIN MOUNTAIN HOUND
CURLY COATED RETRIEVER,https://fci.be/en/nomenclature/CURLY-COATED-RETRIEVER-110.html,"['CURLY COATED RETRIEVER', 'RETRIEVER A POIL BOUCLE', 'CURLY COATED RETRIEVER', 'COBRADOR DE PELO RIZADO']","['retriever a poil boucle', 'curly coated retriever', 'cobrador de pelo rizado']","['retriever a poil boucle', 'curly coated retriever', 'cobrador de pelo rizado']",CURLY COATED RETRIEVER
DACHSHUND,https://fci.be/en/nomenclature/DACHSHUND-148.html,"['DACHSHUND', 'TECKEL', 'DACHSHUND', 'TECKEL']","['dachshund', 'teckel']","['dachshund', 'teckel']",DACHSHUND
DALMATINSKI PAS,https://fci.be/en/nomenclature/DALMATIAN-153.html,"['DALMATIAN', 'DALMATIEN', 'DALMATINER', 'DÁLMATA']","['dalmatiner', 'dálmata', 'dalmatinski pas', 'dalmatian', 'dalmatien']","['dalmatiner', 'dalmata', 'dalmatinski pas', 'dalmatian', 'dalmatien']",DALMATIAN
DANDIE DINMONT TERRIER,https://fci.be/en/nomenclature/DANDIE-DINMONT-TERRIER-168.html,"['DANDIE DINMONT TERRIER', 'DANDIE DINMONT TERRIER', 'DANDIE DINMONT TERRIER', 'DANDIE DINMONT TERRIER']",['dandie dinmont terrier'],['dandie dinmont terrier'],DANDIE DINMONT TERRIER
DANSK-SVENSK GÅRDSHUND,https://fci.be/en/nomenclature/DANISH-SWEDISH-FARMDOG-356.html,"['DANISH-SWEDISH FARMDOG', 'CHIEN DE FERME DANO-SUEDOIS', 'DÄNISCH-SCHWEDISCHER FARMHUND', 'PERRO DE GRANJA DANÉS Y SUECO']","['danish-swedish farmdog', 'dansk-svensk gårdshund', 'chien de ferme dano-suedois', 'perro de granja danés y sueco', 'dänisch-schwedischer farmhund']","['danish-swedish farmdog', 'dansk-svensk gardshund', 'chien de ferme dano-suedois', 'perro de granja danes y sueco', 'danisch-schwedischer farmhund']",DANISH-SWEDISH FARMDOG
DEERHOUND,https://fci.be/en/nomenclature/DEERHOUND-164.html,"['DEERHOUND', 'DEERHOUND', 'SCHOTTISCHER HIRSCHHUND', 'LEBREL ESCOCÉS']","['lebrel escocés', 'schottischer hirschhund', 'deerhound']","['lebrel escoces', 'schottischer hirschhund', 'deerhound']",DEERHOUND
DEUTSCH DRAHTHAAR,https://fci.be/en/nomenclature/GERMAN-WIRE-HAIRED-POINTING-DOG-98.html,"['GERMAN WIRE- HAIRED POINTING DOG', ""CHIEN D'ARRET ALLEMAND A POIL DUR"", 'DEUTSCH DRAHTHAAR', 'PERRO DE MUESTRA ALEMÁN DE PELO DURO']","['deutsch drahthaar', 'german wire- haired pointing dog', ""chien d'arret allemand a poil dur"", 'perro de muestra alemán de pelo duro']","['deutsch drahthaar', 'german wire- haired pointing dog', ""chien d'arret allemand a poil dur"", 'perro de muestra aleman de pelo duro']",GERMAN WIRE- HAIRED POINTING DOG
DEUTSCH KURZHAAR,https://fci.be/en/nomenclature/GERMAN-SHORT-HAIRED-POINTING-DOG-119.html,"['GERMAN SHORT- HAIRED POINTING DOG', 'BRAQUE ALLEMAND A POIL COURT', 'DEUTSCH KURZHAAR', 'BRACO ALEMÁN DE PELO CORTO']","['braque allemand a poil court', 'deutsch kurzhaar', 'braco alemán de pelo corto', 'german short- haired pointing dog']","['braque allemand a poil court', 'deutsch kurzhaar', 'braco aleman de pelo corto', 'german short- haired pointing dog']",GERMAN SHORT- HAIRED POINTING DOG
DEUTSCH LANGHAAR,https://fci.be/en/nomenclature/DEUTSCH-LANGHAAR-117.html,"['DEUTSCH LANGHAAR', 'DEUTSCH LANGHAAR', 'DEUTSCH LANGHAAR', 'DEUTSCH LANGHAAR']",['deutsch langhaar'],['deutsch langhaar'],DEUTSCH LANGHAAR
DEUTSCH STICHELHAAR,https://fci.be/en/nomenclature/DEUTSCH-STICHELHAAR-232.html,"['DEUTSCH STICHELHAAR', ""CHIEN D'ARRET ALLEMAND A POIL RAIDE"", 'DEUTSCH STICHELHAAR', 'PERRO DE MUESTRA ALEMÁN DE PELO CERDOSO']","['deutsch stichelhaar', 'perro de muestra alemán de pelo cerdoso', ""chien d'arret allemand a poil raide""]","['deutsch stichelhaar', 'perro de muestra aleman de pelo cerdoso', ""chien d'arret allemand a poil raide""]",DEUTSCH STICHELHAAR
DEUTSCHE BRACKE,https://fci.be/en/nomenclature/GERMAN-HOUND-299.html,"['GERMAN HOUND', 'BRACHET ALLEMAND', 'DEUTSCHE BRACKE', 'SABUESO ALEMÁN']","['german hound', 'sabueso alemán', 'deutsche bracke', 'brachet allemand']","['german hound', 'sabueso aleman', 'deutsche bracke', 'brachet allemand']",GERMAN HOUND
DEUTSCHE DOGGE,https://fci.be/en/nomenclature/GREAT-DANE-235.html,"['GREAT DANE', 'DOGUE ALLEMAND', 'DEUTSCHE DOGGE', 'GRAN DANÉS']","['deutsche dogge', 'great dane', 'gran danés', 'dogue allemand']","['deutsche dogge', 'great dane', 'gran danes', 'dogue allemand']",GREAT DANE
DEUTSCHER BOXER,https://fci.be/en/nomenclature/BOXER-144.html,"['BOXER', 'BOXER', 'DEUTSCHER BOXER', 'BOXER']","['boxer', 'deutscher boxer']","['boxer', 'deutscher boxer']",BOXER
DEUTSCHER JAGDTERRIER,https://fci.be/en/nomenclature/GERMAN-HUNTING-TERRIER-103.html,"['GERMAN HUNTING TERRIER', 'TERRIER DE CHASSE ALLEMAND', 'DEUTSCHER JAGDTERRIER', 'TERRIER CAZADOR ALEMÁN']","['terrier de chasse allemand', 'deutscher jagdterrier', 'terrier cazador alemán', 'german hunting terrier']","['terrier de chasse allemand', 'deutscher jagdterrier', 'terrier cazador aleman', 'german hunting terrier']",GERMAN HUNTING TERRIER
DEUTSCHER PINSCHER,https://fci.be/en/nomenclature/GERMAN-PINSCHER-184.html,"['GERMAN PINSCHER', 'PINSCHER ALLEMAND', 'DEUTSCHER PINSCHER', 'PINSCHER ALEMÁN']","['pinscher allemand', 'german pinscher', 'deutscher pinscher', 'pinscher alemán']","['pinscher allemand', 'german pinscher', 'deutscher pinscher', 'pinscher aleman']",GERMAN PINSCHER
DEUTSCHER SCHÄFERHUND,https://fci.be/en/nomenclature/GERMAN-SHEPHERD-DOG-166.html,"['GERMAN SHEPHERD DOG', 'BERGER ALLEMAND', 'DEUTSCHER SCHAEFERHUND', 'PASTOR ALEMÁN']","['deutscher schäferhund', 'berger allemand', 'german shepherd dog', 'deutscher schaeferhund', 'pastor alemán']","['deutscher schaferhund', 'berger allemand', 'german shepherd dog', 'deutscher schaeferhund', 'pastor aleman']",GERMAN SHEPHERD DOG
DEUTSCHER SPITZ,https://fci.be/en/nomenclature/GERMAN-SPITZ-97.html,"['GERMAN SPITZ', 'SPITZ ALLEMAND', 'DEUTSCHER SPITZ', 'SPITZ ALEMÁN']","['german spitz', 'deutscher spitz', 'spitz allemand', 'spitz alemán']","['german spitz', 'deutscher spitz', 'spitz allemand', 'spitz aleman']",GERMAN SPITZ
DEUTSCHER WACHTELHUND,https://fci.be/en/nomenclature/GERMAN-SPANIEL-104.html,"['GERMAN SPANIEL', ""CHIEN D'OYSEL ALLEMAND"", 'DEUTSCHER WACHTELHUND', 'PERDIGUERO ALEMÁN']","['german spaniel', ""chien d'oysel allemand"", 'perdiguero alemán', 'deutscher wachtelhund']","['german spaniel', ""chien d'oysel allemand"", 'perdiguero aleman', 'deutscher wachtelhund']",GERMAN SPANIEL
DOBERMANN,https://fci.be/en/nomenclature/DOBERMANN-143.html,"['DOBERMANN', 'DOBERMANN', 'DOBERMANN', 'DOBERMANN']",['dobermann'],['dobermann'],DOBERMANN
DOGO ARGENTINO,https://fci.be/en/nomenclature/DOGO-ARGENTINO-292.html,"['DOGO ARGENTINO', 'DOGUE ARGENTIN', 'ARGENTINISCHE DOGGE', 'DOGO ARGENTINO']","['dogo argentino', 'dogue argentin', 'argentinische dogge']","['dogo argentino', 'dogue argentin', 'argentinische dogge']",DOGO ARGENTINO
DOGUE DE BORDEAUX,https://fci.be/en/nomenclature/DOGUE-DE-BORDEAUX-116.html,"['DOGUE DE BORDEAUX', 'DOGUE DE BORDEAUX', 'BORDEAUXDOGGE', 'DOGO DE BURDEOS']","['dogo de burdeos', 'bordeauxdogge', 'dogue de bordeaux']","['dogo de burdeos', 'bordeauxdogge', 'dogue de bordeaux']",DOGUE DE BORDEAUX
DO-KHYI,https://fci.be/en/nomenclature/TIBETAN-MASTIFF-230.html,"['TIBETAN MASTIFF', 'DOGUE DU TIBET', 'DO KHYI', 'DOGO DEL TIBET']","['dogue du tibet', 'do-khyi', 'do khyi', 'dogo del tibet', 'tibetan mastiff']","['dogue du tibet', 'do-khyi', 'do khyi', 'dogo del tibet', 'tibetan mastiff']",TIBETAN MASTIFF
DRENTSCHE PATRIJSHOND,https://fci.be/en/nomenclature/DRENTSCHE-PARTRIDGE-DOG-224.html,"['DRENTSCHE PARTRIDGE DOG', 'CHIEN DE PERDRIX DE DRENTE', ""DRENT'SCHER HÜHNERHUND"", 'PERDIGUERO DE DRENTE']","[""drent'scher hühnerhund"", 'drentsche partridge dog', 'perdiguero de drente', 'chien de perdrix de drente', 'drentsche patrijshond']","[""drent'scher huhnerhund"", 'drentsche partridge dog', 'perdiguero de drente', 'chien de perdrix de drente', 'drentsche patrijshond']",DRENTSCHE PARTRIDGE DOG
DREVER,https://fci.be/en/nomenclature/DREVER-130.html,"['DREVER', 'BASSET SUEDOIS', 'SCHWEDISCHE DACHSBRACKE', 'PERRO TEJONERO SUECO']","['schwedische dachsbracke', 'perro tejonero sueco', 'basset suedois', 'drever']","['schwedische dachsbracke', 'perro tejonero sueco', 'basset suedois', 'drever']",DREVER
DRÓTZÖRÜ MAGYAR VIZSLA,https://fci.be/en/nomenclature/HUNGARIAN-WIRE-HAIRED-POINTER-239.html,"['HUNGARIAN WIRE-HAIRED POINTER', 'BRAQUE HONGROIS A POIL DUR', 'DRAHTHAARIGER UNGARISCHER VORSTEHHUND', 'BRACO HÚNGARO DE PELO DURO']","['hungarian wire-haired pointer', 'braque hongrois a poil dur', 'drótzörü magyar vizsla', 'braco húngaro de pelo duro', 'drahthaariger ungarischer vorstehhund']","['hungarian wire-haired pointer', 'braque hongrois a poil dur', 'drotzoru magyar vizsla', 'braco hungaro de pelo duro', 'drahthaariger ungarischer vorstehhund']",HUNGARIAN WIRE-HAIRED POINTER
DUNKER,https://fci.be/en/nomenclature/NORWEGIAN-HOUND-203.html,"['NORWEGIAN HOUND', 'CHIEN COURANT NORVEGIEN', 'DUNKERBRACKE - NORWEGISCHER LAUFHUND', 'SABUESO NORUEGO']","['chien courant norvegien', 'dunkerbracke - norwegischer laufhund', 'norwegian hound', 'sabueso noruego', 'dunker']","['chien courant norvegien', 'dunkerbracke - norwegischer laufhund', 'norwegian hound', 'sabueso noruego', 'dunker']",NORWEGIAN HOUND
EESTI HAGIJAS,https://fci.be/en/nomenclature/ESTONIAN-HOUND-366.html,"['ESTONIAN HOUND', ""CHIEN COURANT D'ESTONIE"", 'ESTNISCHE BRACKE', 'SABUESO DE ESTONIA']","[""chien courant d'estonie"", 'eesti hagijas', 'sabueso de estonia', 'estnische bracke', 'estonian hound']","[""chien courant d'estonie"", 'eesti hagijas', 'sabueso de estonia', 'estnische bracke', 'estonian hound']",ESTONIAN HOUND
ENGLISH COCKER SPANIEL,https://fci.be/en/nomenclature/ENGLISH-COCKER-SPANIEL-5.html,"['ENGLISH COCKER SPANIEL', 'COCKER SPANIEL ANGLAIS', 'ENGLISH COCKER SPANIEL', 'COCKER SPANIEL INGLÉS']","['english cocker spaniel', 'cocker spaniel inglés', 'cocker spaniel anglais']","['english cocker spaniel', 'cocker spaniel ingles', 'cocker spaniel anglais']",ENGLISH COCKER SPANIEL
ENGLISH FOXHOUND,https://fci.be/en/nomenclature/ENGLISH-FOXHOUND-159.html,"['ENGLISH FOXHOUND', 'ENGLISH FOXHOUND', 'ENGLISH FOXHOUND', 'FOXHOUND INGLÉS']","['english foxhound', 'foxhound inglés']","['english foxhound', 'foxhound ingles']",ENGLISH FOXHOUND
ENGLISH POINTER,https://fci.be/en/nomenclature/ENGLISH-POINTER-1.html,"['ENGLISH POINTER', 'POINTER ANGLAIS', 'ENGLISCHER POINTER', 'POINTER INGLÉS']","['pointer anglais', 'englischer pointer', 'pointer inglés', 'english pointer']","['pointer anglais', 'englischer pointer', 'pointer ingles', 'english pointer']",ENGLISH POINTER
ENGLISH SETTER,https://fci.be/en/nomenclature/ENGLISH-SETTER-2.html,"['ENGLISH SETTER', 'SETTER ANGLAIS', 'ENGLISCHER SETTER', 'SETTER INGLÉS']","['setter anglais', 'setter inglés', 'english setter', 'englischer setter']","['setter anglais', 'setter ingles', 'english setter', 'englischer setter']",ENGLISH SETTER
ENGLISH SPRINGER SPANIEL,https://fci.be/en/nomenclature/ENGLISH-SPRINGER-SPANIEL-125.html,"['ENGLISH SPRINGER SPANIEL', 'ENGLISH SPRINGER SPANIEL', 'ENGLISH SPRINGER SPANIEL', 'SPRINGER SPANIEL INGLÉS']","['english springer spaniel', 'springer spaniel inglés']","['english springer spaniel', 'springer spaniel ingles']",ENGLISH SPRINGER SPANIEL
ENGLISH TOY TERRIER,https://fci.be/en/nomenclature/ENGLISH-TOY-TERRIER-BLACK-TAN-13.html,"['ENGLISH TOY TERRIER (BLACK &TAN)', ""TERRIER ANGLAIS D'AGREMENT (NOIR ET FEU)"", 'ENGLISCHER TOY TERRIER (SCHWARZ UND LOH)', 'TERRIER DE JUGUETE INGLÉS (NEGRO Y FUEGO)']","[""terrier anglais d'agrement (noir et feu)"", 'english toy terrier (black &tan)', 'englischer toy terrier (schwarz und loh)', 'english toy terrier', 'terrier de juguete inglés (negro y fuego)']","[""terrier anglais d'agrement (noir et feu)"", 'english toy terrier (black &tan)', 'englischer toy terrier (schwarz und loh)', 'english toy terrier', 'terrier de juguete ingles (negro y fuego)']",ENGLISH TOY TERRIER (BLACK &TAN)
ENTLEBUCHER SENNENHUND,https://fci.be/en/nomenclature/ENTLEBUCH-CATTLE-DOG-47.html,"['ENTLEBUCH CATTLE DOG', ""BOUVIER DE L'ENTLEBUCH"", 'ENTLEBUCHER SENNENHUND', 'PERRO BOYERO DE ENTLEBUCH']","[""bouvier de l'entlebuch"", 'entlebuch cattle dog', 'perro boyero de entlebuch', 'entlebucher sennenhund']","[""bouvier de l'entlebuch"", 'entlebuch cattle dog', 'perro boyero de entlebuch', 'entlebucher sennenhund']",ENTLEBUCH CATTLE DOG
EPAGNEUL BLEU DE PICARDIE,https://fci.be/en/nomenclature/BLUE-PICARDY-SPANIEL-106.html,"['BLUE PICARDY SPANIEL', 'EPAGNEUL BLEU DE PICARDIE', 'BLAUER PICARDIE-SPANIEL', 'SPANIEL AZUL DE PICARDIA']","['epagneul bleu de picardie', 'blue picardy spaniel', 'spaniel azul de picardia', 'blauer picardie-spaniel']","['epagneul bleu de picardie', 'blue picardy spaniel', 'spaniel azul de picardia', 'blauer picardie-spaniel']",BLUE PICARDY SPANIEL
